Acai
Amount Needed	City	Region
25	Lodwar, KE	Africa East
50	Moundou, TD	Africa East
150	Antofagasta, CL	S. America Lower
1000	Bogota, CO	S. America Upper
1,225	Total Amount

Ackee
Amount Needed	City	Region
0	Total Amount

Almond
Amount Needed	City	Region
350	Ankara, TR	Middle East Upper
1000	Honiara, SB	Oceania East
1,35	Total Amount

Alpaca Doll
Amount Needed	City	Region
50	Lichinga, MZ	Africa South
50	Riberalta, BR	S. America Center
50	Da Nang, VN	S.E. Asia East
150	Total Amount

Aluminium
Amount Needed	City	Region
25	Ust-Nera, RU	Russia East
50	Torquay, AU	Oceania East
150	Cairo, EG	Africa East
150	Hargeisa, SO	Africa East
150	Macapa, BR	S. America Center
350	Singapore, MY	S.E. Asia East
875	Total Amount

Anchovy
Amount Needed	City	Region
50	Kikwit, DR	Africa Center
50	Hyden, AU	Oceania West
150	Posadas, AR	S. America Lower
150	Pucallpa, PE	S. America Upper
400	Total Amount

Apple
Amount Needed	City	Region
25	Ouesso, ROC	Africa Center
25	Ben Gardane, TN	Africa West
25	Gabu, GW	Africa West
25	Murun, MN	Asia North
25	Yorkton, SK	Canada Center
25	Whitehorse, YT	Canada West
25	Santa Ana, SV	Central America
25	Rosarito, MX	Mexico
25	Medan, ID	S.E. Asia East
50	Fianarantsoa, MG	Africa South
50	Erbil, IQ	Middle East Lower
50	Nicosia, CY	Middle East Upper
50	Wagga Wagga, AU	Oceania East
50	Puerto Iguazu, AR	S. America Lower
50	Ushuaia, AR	S. America Lower
50	Topeka, KS	USA South
50	Olympia, WA	USA West
150	Luanda, AO	Africa South
150	Casablanca, MA	Africa West
150	Sochi, RU	Russia West
150	Santa Maria, BR	S. America Center
150	Concordia, AR	S. America Lower
350	Juneau, AK	Alaska
350	Morelia, MX	Mexico
350	Riyadh, SA	Middle East Lower
350	Brisbane, AU	Oceania East
350	Quito, EC	S. America Upper
350	Salt Lake City, UT	USA West
3,475	Total Amount

Arctic Root
Amount Needed	City	Region
0	Total Amount

Asparagus
Amount Needed	City	Region
50	Misrata, LY	Africa East
50	Kankan, GN	Africa West
50	Puerto Natales, CL	S. America Lower
150	Khartoum, SD	Africa East
150	Mecca, SA	Middle East Lower
150	Novokuznetsk, RU	Russia East
600	Total Amount

Aussie Spring Water
Amount Needed	City	Region
50	Longreach, AU	Oceania East
50	Total Amount

Avocado
Amount Needed	City	Region
50	Marsabit, KE	Africa East
50	Sarh, TD	Africa East
150	Punta Arenas, CL	S. America Lower
350	Barquisimeto, VE	S. America Upper
600	Total Amount

Bag of Flour
Amount Needed	City	Region
350	Belem, BR	S. America Center
350	Total Amount

Bamboo
Amount Needed	City	Region
25	Beledweyne, SO	Africa East
50	Luxor, EG	Africa East
50	Warburton, AU	Oceania West
150	Iquitos, PE	S. America Upper
350	Bayingol, CN	Asia North
625	Total Amount

Banana
Amount Needed	City	Region
25	Aweil, SS	Africa Center
25	San Salvador, SV	Central America
50	Kolwezi, DR	Africa Center
50	Guadalajara, MX	Mexico
50	Los Mochis, MX	Mexico
50	Kalbarri, AU	Oceania West
150	Ponce, PR	Caribbean
150	Mexicali, MX	Mexico
350	Sana'a, YE	Middle East Lower
900	Total Amount

BBQ Rib
Amount Needed	City	Region
25	Al-Jawf, LY	Africa East
25	Arba Minch, ET	Africa East
50	Huslia, AK	Alaska
50	Ballarat, AU	Oceania East
50	Columbia, SC	USA South
150	Kingston, ON	Canada East
350	Guilin, CN	Asia North
350	San Juan, PR	Caribbean
350	Tepic, MX	Mexico
